order_id,lat,lng,destination_lat,destination_lng
12345,28.6163619285005,77.13372489645417,54.076,83.8777
67890,18.52988022122889,73.84666743168161,28.4595,77.0266
11223,37.78228193559689,-122.41020298093,34.0522,-118.2437
33445,51.5074,-0.1278,48.8566,2.3522
55667,40.707222219100295,-74.0122458114006,34.0522,-118.2437
77889,48.8566,2.3522,41.9028,12.4964
99001,35.6895,139.6917,37.7749,-122.4194
22334,-33.8688,151.2093,-37.8136,144.9631
44556,55.7558,37.6173,52.52,13.405
66778,39.9042,116.4074,22.3964,114.1095
